"V1" "V2" "V3" "V4" "V5" "V6"
"680" "img/2609500_1224000_2610000_1224500.tiff" 4060 2600 4870 3840 "school"
"681" "img/2609500_1224000_2610000_1224500.tiff" 3340 2530 4130 3590 "school"
"682" "img/2609500_1224000_2610000_1224500.tiff" 4350 2040 4630 2470 "school"
"687" "img/2645500_1237000_2646000_1237500.tiff" 0 970 270 1560 "graveyard"
"688" "img/2700000_1149000_2700500_1149500.tiff" 920 1520 1350 1950 "school"
"689" "img/2700000_1149000_2700500_1149500.tiff" 1290 440 1540 640 "school"
"694" "img/2662500_1235500_2663000_1236000.tiff" 1570 2970 2400 3400 "graveyard"
"695" "img/2634000_1239000_2634500_1239500.tiff" 1200 3950 2440 5000 "graveyard"
"696" "img/2634000_1239000_2634500_1239500.tiff" 2150 2980 2580 3750 "graveyard"
"697" "img/2634000_1239000_2634500_1239500.tiff" 1590 2890 2220 3830 "graveyard"
"698" "img/2634000_1239000_2634500_1239500.tiff" 4760 470 4960 800 "graveyard"
"699" "img/2634000_1239000_2634500_1239500.tiff" 20 150 650 1000 "graveyard"
"718" "img/2503000_1141000_2503500_1141500.tiff" 470 4730 830 5000 "graveyard"
"719" "img/2503000_1141000_2503500_1141500.tiff" 3450 4550 3830 4940 "graveyard"
"720" "img/2503000_1141000_2503500_1141500.tiff" 0 2340 60 2850 "graveyard"
"721" "img/2503000_1141000_2503500_1141500.tiff" 1210 3200 2950 4980 "graveyard"
"722" "img/2503000_1141000_2503500_1141500.tiff" 1490 2010 2880 3360 "graveyard"
"724" "img/2543000_1156000_2543500_1156500.tiff" 0 2150 280 3500 "school"
"725" "img/2543000_1156000_2543500_1156500.tiff" 0 2280 150 2620 "school"
"726" "img/2543000_1156000_2543500_1156500.tiff" 50 490 640 1190 "school"
"731" "img/2544000_1175500_2544500_1176000.tiff" 4600 3870 4790 4430 "graveyard"
"736" "img/2599500_1223500_2600000_1224000.tiff" 960 3990 1460 4570 "graveyard"
"755" "img/2611000_1185000_2611500_1185500.tiff" 0 910 390 1260 "school"
"756" "img/2611000_1185000_2611500_1185500.tiff" 3270 380 3750 640 "school"
"757" "img/2611000_1185000_2611500_1185500.tiff" 550 170 670 220 "school"
"758" "img/2611000_1185000_2611500_1185500.tiff" 70 110 530 300 "school"
"759" "img/2611000_1185000_2611500_1185500.tiff" 110 40 520 240 "school"
"760" "img/2611000_1185000_2611500_1185500.tiff" 580 20 660 140 "school"
"761" "img/2611000_1185000_2611500_1185500.tiff" 640 30 790 190 "school"
"762" "img/2611000_1185000_2611500_1185500.tiff" 2980 150 4320 1150 "school"
"782" "img/2604500_1193500_2605000_1194000.tiff" 450 4580 1510 5000 "school"
"783" "img/2604500_1193500_2605000_1194000.tiff" 3040 4810 3560 5000 "school"
"798" "img/2536000_1157000_2536500_1157500.tiff" 2420 4540 2710 4760 "graveyard"
"801" "img/2649500_1218500_2650000_1219000.tiff" 2080 3010 3140 5000 "school"
"802" "img/2649500_1218500_2650000_1219000.tiff" 2850 3220 3090 3650 "school"
"803" "img/2649500_1218500_2650000_1219000.tiff" 2880 3040 3090 3170 "school"
"804" "img/2649500_1218500_2650000_1219000.tiff" 2380 2710 3040 3070 "school"
"823" "img/2720000_1087500_2720500_1088000.tiff" 210 170 670 560 "graveyard"
"830" "img/2662000_1230500_2662500_1231000.tiff" 660 2070 2040 3460 "graveyard"
"831" "img/2662000_1230500_2662500_1231000.tiff" 2650 1060 3040 1420 "graveyard"
"832" "img/2662000_1230500_2662500_1231000.tiff" 1860 1020 2170 1470 "graveyard"
"833" "img/2662000_1230500_2662500_1231000.tiff" 2080 970 2640 1430 "graveyard"
"834" "img/2662000_1230500_2662500_1231000.tiff" 630 630 1370 1430 "graveyard"
"835" "img/2662000_1230500_2662500_1231000.tiff" 570 220 1030 720 "graveyard"
"836" "img/2662000_1230500_2662500_1231000.tiff" 550 30 740 200 "graveyard"
"837" "img/2662000_1230500_2662500_1231000.tiff" 700 20 870 150 "graveyard"
"865" "img/2718000_1089500_2718500_1090000.tiff" 4260 2140 4610 2390 "graveyard"
"869" "img/2502500_1119000_2503000_1119500.tiff" 4490 4740 4930 5000 "school"
"870" "img/2502500_1119000_2503000_1119500.tiff" 4870 4220 4980 4870 "school"
"873" "img/2720000_1101000_2720500_1101500.tiff" 2980 360 3260 760 "graveyard"
"878" "img/2701000_1257500_2701500_1258000.tiff" 0 490 360 1020 "school"
"879" "img/2701000_1257500_2701500_1258000.tiff" 890 4180 1020 4310 "school"
"890" "img/2590000_1119000_2590500_1119500.tiff" 3160 3580 4070 4460 "school"
"892" "img/2610000_1224000_2610500_1224500.tiff" 0 2650 350 3840 "school"
"893" "img/2610000_1224000_2610500_1224500.tiff" 2050 2280 3290 3390 "school"
"945" "img/2728000_1253000_2728500_1253500.tiff" 3680 360 4530 1400 "school"
"946" "img/2728000_1253000_2728500_1253500.tiff" 4330 310 4590 710 "school"
"959" "img/2656500_1240500_2657000_1241000.tiff" 1350 2830 1650 3030 "school"
"960" "img/2656500_1240500_2657000_1241000.tiff" 1240 2410 2030 2870 "school"
"961" "img/2656500_1240500_2657000_1241000.tiff" 1230 2470 1510 2720 "school"
"962" "img/2656500_1240500_2657000_1241000.tiff" 1540 2420 2650 2790 "school"
"963" "img/2656500_1240500_2657000_1241000.tiff" 1990 2110 2320 2590 "school"
"964" "img/2656500_1240500_2657000_1241000.tiff" 2080 1870 2850 2600 "school"
"965" "img/2706000_1115500_2706500_1116000.tiff" 0 4860 100 5000 "graveyard"
"969" "img/2613000_1219500_2613500_1220000.tiff" 0 2950 3900 5000 "school"
"1026" "img/2771000_1140000_2771500_1140500.tiff" 770 4380 950 4560 "graveyard"
"1029" "img/2690000_1153500_2690500_1154000.tiff" 0 3320 630 4070 "school"
"1030" "img/2690000_1153500_2690500_1154000.tiff" 640 3190 1070 4110 "school"
"1036" "img/2734000_1233500_2734500_1234000.tiff" 2600 2670 3070 2940 "graveyard"
"1037" "img/2734000_1233500_2734500_1234000.tiff" 2590 1940 2790 2090 "graveyard"
"1044" "img/2727500_1266000_2728000_1266500.tiff" 2870 1100 3280 1230 "graveyard"
"1045" "img/2692000_1231000_2692500_1231500.tiff" 4490 20 4680 110 "school"
"1074" "img/2584000_1212500_2584500_1213000.tiff" 4530 4580 4930 5000 "graveyard"
"1082" "img/2501500_1133500_2502000_1134000.tiff" 1150 3960 1500 4290 "graveyard"
"1083" "img/2501500_1133500_2502000_1134000.tiff" 4250 3050 4710 3510 "graveyard"
"1092" "img/2615500_1194500_2616000_1195000.tiff" 1180 730 2390 1750 "graveyard"
"1128" "img/2595500_1203500_2596000_1204000.tiff" 2150 1910 4120 3560 "school"
"1129" "img/2595500_1203500_2596000_1204000.tiff" 2560 2210 3350 2790 "school"
"1130" "img/2595500_1203500_2596000_1204000.tiff" 2910 2000 3380 2420 "school"
"1131" "img/2595500_1203500_2596000_1204000.tiff" 3430 1760 4030 2450 "school"
"1134" "img/2525500_1150500_2526000_1151000.tiff" 0 1910 170 2210 "graveyard"
"1135" "img/2525500_1150500_2526000_1151000.tiff" 3590 80 3890 370 "graveyard"
"1144" "img/2629500_1118000_2630000_1118500.tiff" 4750 2070 4960 2450 "school"
"1151" "img/2634500_1230500_2635000_1231000.tiff" 2670 940 3800 2280 "school"
"1152" "img/2634500_1230500_2635000_1231000.tiff" 2790 680 3270 1020 "school"
"1153" "img/2634500_1230500_2635000_1231000.tiff" 2650 340 3150 690 "school"
"1168" "img/2597500_1199500_2598000_1200000.tiff" 4480 4810 4930 5000 "school"
"1169" "img/2597500_1199500_2598000_1200000.tiff" 4790 4670 4970 5000 "school"
"1170" "img/2597500_1199500_2598000_1200000.tiff" 940 2720 1410 3120 "school"
"1171" "img/2597500_1199500_2598000_1200000.tiff" 2700 2610 2830 2640 "school"
"1172" "img/2597500_1199500_2598000_1200000.tiff" 2530 2500 2720 2580 "school"
"1178" "img/2765000_1256000_2765500_1256500.tiff" 4320 4550 4910 5000 "school"
"1179" "img/2765000_1256000_2765500_1256500.tiff" 4900 4530 4980 4600 "school"
"1180" "img/2765000_1256000_2765500_1256500.tiff" 4430 3290 4880 3530 "school"
"1181" "img/2765000_1256000_2765500_1256500.tiff" 4610 3030 4920 3270 "school"
"1198" "img/2701000_1250000_2701500_1250500.tiff" 0 2700 100 3050 "school"
"1199" "img/2701000_1250000_2701500_1250500.tiff" 0 1180 400 2120 "school"
"1200" "img/2701000_1250000_2701500_1250500.tiff" 2300 1970 2470 2340 "school"
"1201" "img/2701000_1250000_2701500_1250500.tiff" 2470 1970 2640 2340 "school"
"1202" "img/2701000_1250000_2701500_1250500.tiff" 2480 1600 2670 1970 "school"
"1203" "img/2701000_1250000_2701500_1250500.tiff" 2670 1450 2850 1820 "school"
"1204" "img/2701000_1250000_2701500_1250500.tiff" 2860 1420 2960 1600 "school"
"1205" "img/2552500_1179000_2553000_1179500.tiff" 3100 1920 3650 2510 "graveyard"
"1206" "img/2610000_1166000_2610500_1166500.tiff" 0 390 350 1330 "graveyard"
"1224" "img/2592500_1213500_2593000_1214000.tiff" 210 4920 620 5000 "school"
"1225" "img/2592500_1213500_2593000_1214000.tiff" 200 4360 470 4650 "school"
"1267" "img/2529500_1182500_2530000_1183000.tiff" 4150 4480 4490 4740 "school"
"1268" "img/2529500_1182500_2530000_1183000.tiff" 1580 4070 2100 4710 "school"
"1287" "img/2740000_1219500_2740500_1220000.tiff" 1250 2740 1580 2990 "school"
"1288" "img/2681000_1130000_2681500_1130500.tiff" 480 4100 830 4260 "graveyard"
"1293" "img/2613000_1212000_2613500_1212500.tiff" 2520 4610 3790 5000 "school"
"1294" "img/2613000_1212000_2613500_1212500.tiff" 3570 1950 4050 2190 "school"
"1319" "img/2525000_1163000_2525500_1163500.tiff" 4700 3030 4960 3310 "graveyard"
"1321" "img/2492000_1119500_2492500_1120000.tiff" 1090 4480 1840 5000 "graveyard"
"1330" "img/2649500_1253500_2650000_1254000.tiff" 3560 620 4160 1050 "graveyard"
"1331" "img/2649500_1253500_2650000_1254000.tiff" 2060 630 2370 990 "graveyard"
"1332" "img/2721500_1078500_2722000_1079000.tiff" 2620 4500 3550 5000 "graveyard"
"1333" "img/2721500_1078500_2722000_1079000.tiff" 4410 3320 4920 4360 "graveyard"
"1334" "img/2721500_1078500_2722000_1079000.tiff" 3660 30 3890 230 "graveyard"
"1335" "img/2721500_1078500_2722000_1079000.tiff" 3480 30 3710 160 "graveyard"
"1339" "img/2636500_1221000_2637000_1221500.tiff" 4080 4810 4760 5000 "school"
"1340" "img/2636500_1221000_2637000_1221500.tiff" 1870 4150 2330 4610 "school"
"1341" "img/2636500_1221000_2637000_1221500.tiff" 1880 3800 2320 4070 "school"
"1342" "img/2636500_1221000_2637000_1221500.tiff" 1400 3430 1910 3790 "school"
"1352" "img/2687000_1252500_2687500_1253000.tiff" 4090 820 4580 1130 "school"
"1354" "img/2702000_1247500_2702500_1248000.tiff" 0 4460 1140 5000 "school"
"1355" "img/2642000_1218000_2642500_1218500.tiff" 640 90 880 340 "school"
"1356" "img/2642000_1218000_2642500_1218500.tiff" 80 40 320 270 "school"
"1373" "img/2688000_1230000_2688500_1230500.tiff" 3300 3620 4210 4840 "school"
"1374" "img/2688000_1230000_2688500_1230500.tiff" 3630 3840 3910 4180 "school"
"1375" "img/2688000_1230000_2688500_1230500.tiff" 3840 3560 4240 4100 "school"
"1376" "img/2688000_1230000_2688500_1230500.tiff" 4950 3430 4990 3900 "school"
"1377" "img/2612500_1257500_2613000_1258000.tiff" 0 4050 310 5000 "school"
"1378" "img/2612500_1257500_2613000_1258000.tiff" 0 2920 840 5000 "school"
"1384" "img/2752500_1259500_2753000_1260000.tiff" 2120 40 2330 270 "school"
"1385" "img/2752500_1259500_2753000_1260000.tiff" 2000 20 2060 130 "school"
"1393" "img/2621500_1259000_2622000_1259500.tiff" 0 3560 2580 5000 "school"
"1394" "img/2621500_1259000_2622000_1259500.tiff" 200 3870 1080 4860 "school"
"1395" "img/2621500_1259000_2622000_1259500.tiff" 810 3780 1250 4200 "school"
"1396" "img/2621500_1259000_2622000_1259500.tiff" 760 3690 1030 3930 "school"
"1397" "img/2621500_1259000_2622000_1259500.tiff" 1270 1830 3820 3530 "school"
"1398" "img/2621500_1259000_2622000_1259500.tiff" 1660 1880 2710 2650 "school"
"1399" "img/2621500_1259000_2622000_1259500.tiff" 2430 1700 2920 2120 "school"
"1404" "img/2717500_1142000_2718000_1142500.tiff" 2960 2450 3130 2860 "graveyard"
"1408" "img/2544000_1188500_2544500_1189000.tiff" 3150 2600 3650 3090 "school"
"1409" "img/2544000_1188500_2544500_1189000.tiff" 1870 4370 2100 4670 "school"
"1413" "img/2701500_1150000_2702000_1150500.tiff" 2080 3610 2240 3770 "graveyard"
"1430" "img/2687000_1269500_2687500_1270000.tiff" 2020 4820 2530 5000 "graveyard"
"1435" "img/2600500_1197500_2601000_1198000.tiff" 2280 4910 2530 5000 "graveyard"
"1436" "img/2600500_1197500_2601000_1198000.tiff" 1400 4230 2630 5000 "graveyard"
"1437" "img/2600500_1197500_2601000_1198000.tiff" 0 3090 690 3720 "graveyard"
"1438" "img/2600500_1197500_2601000_1198000.tiff" 3780 2610 4840 3850 "graveyard"
"1439" "img/2600500_1197500_2601000_1198000.tiff" 350 2900 830 3320 "graveyard"
"1440" "img/2600500_1197500_2601000_1198000.tiff" 0 2450 990 3910 "graveyard"
"1441" "img/2600500_1197500_2601000_1198000.tiff" 4090 2620 4430 2990 "graveyard"
"1442" "img/2600500_1197500_2601000_1198000.tiff" 30 2390 850 2870 "graveyard"
"1443" "img/2508500_1124000_2509000_1124500.tiff" 610 660 1200 1180 "school"
"1444" "img/2700500_1120000_2701000_1120500.tiff" 4260 4080 4590 4400 "graveyard"
"1445" "img/2700500_1120000_2701000_1120500.tiff" 420 2950 830 3290 "graveyard"
"1456" "img/2674500_1231500_2675000_1232000.tiff" 2540 620 2930 1110 "school"
"1457" "img/2674500_1231500_2675000_1232000.tiff" 2080 660 2440 970 "school"
"1458" "img/2674500_1231500_2675000_1232000.tiff" 1960 20 2260 140 "school"
"1471" "img/2692500_1272000_2693000_1272500.tiff" 4360 90 4910 680 "school"
"1472" "img/2692500_1272000_2693000_1272500.tiff" 4460 20 4610 90 "school"
"1473" "img/2692500_1272000_2693000_1272500.tiff" 4200 30 4590 170 "school"
"1485" "img/2672500_1227000_2673000_1227500.tiff" 0 60 630 400 "graveyard"
"1491" "img/2526500_1155000_2527000_1155500.tiff" 2410 1380 2750 1670 "graveyard"
"1492" "img/2698500_1263000_2699000_1263500.tiff" 2870 4540 4050 5000 "school"
"1493" "img/2698500_1263000_2699000_1263500.tiff" 3660 4730 3930 5000 "school"
"1494" "img/2698500_1263000_2699000_1263500.tiff" 3820 2150 4740 3440 "school"
"1495" "img/2698500_1263000_2699000_1263500.tiff" 3460 1840 4180 3440 "school"
"1496" "img/2653000_1255000_2653500_1255500.tiff" 710 3920 1150 4520 "school"
"1497" "img/2653000_1255000_2653500_1255500.tiff" 410 3830 760 4090 "school"
"1498" "img/2653000_1255000_2653500_1255500.tiff" 560 3560 800 3800 "school"
"1499" "img/2653000_1255000_2653500_1255500.tiff" 350 3430 650 3690 "school"
"1500" "img/2653000_1255000_2653500_1255500.tiff" 1900 3290 2770 3890 "school"
"1501" "img/2653000_1255000_2653500_1255500.tiff" 320 2890 520 3030 "school"
"1502" "img/2653000_1255000_2653500_1255500.tiff" 250 2560 680 2920 "school"
